Year,Nature Conservancy,American Forests,National Fish and Wildlife Foundation,Natural Resources Defense Council,Conservation International,World Wildlife Fund,Sierra Club,Ocean Conservancy,Environmental Defense Fund,Audubon Society,Testimony
1980.0,,,,,,,,,19.0,,
1981.0,,,,,,,,,13.0,,
1982.0,,,,,,,,,9.0,,
1983.0,,,,,,,,,23.0,,
1984.0,,39.0,,,,,,,10.0,,
1985.0,,,,,,,,,9.0,,
1986.0,,,,,,,,,34.0,,
1987.0,,56.0,,,,,,,79.0,,
1988.0,,,,,,,,,11.0,,
1989.0,,44.0,,,,,,,15.0,,
1990.0,,55.0,,,,,,,20.0,,
1991.0,,,,,,,,,11.0,,
1992.0,,,,,,,,,11.0,,
1993.0,,,,,,,,,6.0,,
1994.0,,,,,,,,,11.0,,
1995.0,,13.0,,,,,,,17.0,,
1996.0,,,,,,,,,10.0,,
1997.0,,15.0,,,,,,,10.0,190.0,
1998.0,,18.0,,,,,,,90.0,137.0,
1999.0,,32.0,,,,,,,55.0,134.0,
2000.0,,25.0,,,16.0,49.0,,,81.0,68.0,
2001.0,68.0,24.0,,,,34.0,,,91.0,52.0,
2002.0,55.0,,,,39.0,28.0,,20.0,88.0,45.0,
2003.0,101.0,,68.0,,62.0,101.0,,65.0,58.0,47.0,
2004.0,78.0,19.0,23.0,,40.0,93.0,,41.0,76.0,,
2005.0,85.0,35.0,19.0,,64.0,135.0,,59.0,91.0,49.0,
2006.0,105.0,7.0,83.0,,31.0,61.0,,,120.0,36.0,
2007.0,105.0,15.0,95.0,,69.0,49.0,,,115.0,34.0,
2008.0,73.0,43.0,33.0,,101.0,40.0,,130.0,162.0,,
2009.0,116.0,29.0,38.0,,54.0,204.0,66.0,68.0,93.0,52.0,
2010.0,53.0,36.0,42.0,220.0,26.0,78.0,154.0,106.0,91.0,54.0,
2011.0,63.0,48.0,24.0,245.0,48.0,110.0,,44.0,94.0,,
2012.0,73.0,87.0,30.0,209.0,54.0,41.0,73.0,46.0,85.0,131.0,
2013.0,67.0,40.0,36.0,83.0,93.0,85.0,86.0,79.0,124.0,89.0,394.625
2014.0,88.0,40.0,21.0,93.0,60.0,72.0,66.0,75.0,84.0,67.0,394.625
2015.0,262.0,19.0,13.0,93.0,71.0,69.0,47.0,65.0,89.0,,394.625
2016.0,162.0,17.0,15.0,,64.0,81.0,65.0,55.0,77.0,,394.625
2017.0,186.0,13.0,12.0,96.0,66.0,65.0,60.0,51.0,68.0,,394.625
2018.0,214.0,36.0,23.0,234.0,112.0,55.0,67.0,66.0,58.0,,394.625
2019.0,96.0,43.0,39.0,329.0,101.0,16.0,89.0,53.0,74.0,,394.625
2020.0,53.0,29.0,204.0,208.0,73.0,82.0,39.0,51.0,51.0,,394.625
Average Prevalence,0,0,0,0,0,0,0,0,0,0,
